customer_id,name,email,phone,city,state,signup_date
51,Anvi Anand,tanejabhavini@example.org,5339421047,Adoni,Kerala,2025-06-07
52,Gautam Merchant,ojasvi23@example.org,5884247451,Aurangabad,Chhattisgarh,2025-06-24
53,Mekhala Pau,ranaakshay@example.com,1754965137,Udupi,Nagaland,2024-07-28
54,Dev Shetty,nilima12@example.org,+914711382675,Dharmavaram,Telangana,2025-06-03
55,Oeshi Chaudhary,rreddy@example.org,5377351585,Sikar,Himachal Pradesh,2024-04-12
56,Suhani Chand,anshbedi@example.com,+912931839335,Kavali,Andhra Pradesh,2024-06-19
57,Kalpit Zachariah,owen10@example.org,+915395024026,Rajkot,Meghalaya,2024-10-30
58,Yochana Chopra,othakur@example.net,+918470076617,Srinagar,Assam,2024-07-24
59,Dominic Date,ekta69@example.net,07896118367,Haridwar,Karnataka,2025-08-20
60,Mohini Sagar,munshiprisha@example.com,4527111161,Bikaner,Nagaland,2024-01-02
61,Jason Roy,pallavi04@example.net,05198327315,Raipur,Tripura,2024-06-20
62,Pushti Bal,ayush24@example.net,05502296120,Bettiah,Gujarat,2024-09-04
63,Sudiksha Om,kalamuni@example.net,09910229014,Khandwa,Meghalaya,2025-03-02
64,Oeshi Mahajan,yauvanicomar@example.com,01497840369,Chennai,Gujarat,2024-07-08
65,Laksh Kumer,falak10@example.com,6226838851,Kalyan-Dombivli,Maharashtra,2023-12-01
66,Faras Munshi,travel@example.net,04160529751,Aligarh,Haryana,2024-10-20
67,Farhan Randhawa,harinakshi35@example.org,+918188355231,Bardhaman,Gujarat,2024-03-30
68,Faqid Goel,wshetty@example.net,7995527177,Panipat,Odisha,2023-12-30
69,Yashica Borah,triya70@example.org,04119986798,Hospet,Uttar Pradesh,2025-02-03
70,Ekanta Soni,davidseshadri@example.org,01820377889,Bharatpur,Kerala,2025-10-29
71,Lila Rege,charles51@example.com,+918644925192,Tirupati,Rajasthan,2025-05-12
72,Kai Chad,krisha52@example.net,8168505423,Shivpuri,Gujarat,2024-05-10
73,Mohammed Brahmbhatt,harrison88@example.net,0592962229,Bahraich,Arunachal Pradesh,2024-10-01
74,Wazir Sawhney,saumya38@example.org,07359774688,Nanded,Uttarakhand,2024-04-20
75,Zashil Ben,jprabhu@example.org,8141247826,Korba,Uttarakhand,2024-11-01
76,Avi Sachdeva,randhawayadavi@example.com,+916153051522,Baranagar,Uttarakhand,2024-11-17
77,Upasna Sen,buchanirudh@example.com,+912898614341,Mathura,Maharashtra,2025-03-27
78,Dev Choudhry,bwason@example.net,9324609539,Gaya,Sikkim,2025-04-19
79,Jalsa Bir,ramakrishnanupma@example.org,6540515319,Guntur,Arunachal Pradesh,2024-08-16
80,Parth Shetty,zgopal@example.org,+917043030548,Tinsukia,Meghalaya,2024-05-31
81,Rayaan Mangal,champak54@example.org,06676527758,Gwalior,Telangana,2024-10-11
82,Qushi Gole,ekani11@example.com,4479627570,Srikakulam,Maharashtra,2024-06-17
83,Falan Ravi,yochana20@example.org,7021355690,Hospet,Kerala,2024-08-31
84,Faraj Devan,mitali54@example.org,+910278681447,Pudukkottai,Jharkhand,2025-05-09
85,Ryan Das,ethanseth@example.org,7155188442,Mirzapur,Mizoram,2024-05-09
86,Sai Dewan,wakeetabal@example.com,9578291146,Hajipur,Maharashtra,2025-07-06
87,Ethan Dass,ethan77@example.net,5289226801,Avadi,Goa,2024-03-21
88,Umang Pal,farhan43@example.net,4249818299,Tirunelveli,Sikkim,2025-03-16
89,Benjamin Balakrishnan,bathalka@example.net,+919690784473,Bihar Sharif,Manipur,2024-01-12
90,Nakul Sarraf,dsule@example.org,09255562588,Imphal,Haryana,2024-11-13
91,Amara Sengupta,lohitchatterjee@example.org,06963259532,Kottayam,Manipur,2024-12-08
92,Widisha Bajaj,ramaswamyyashasvi@example.com,+913950047974,Moradabad,Maharashtra,2024-02-29
93,Jasmit Rau,chakradev60@example.net,3584168784,Warangal,Bihar,2024-09-17
94,Harinakshi Pau,rushilupadhyay@example.com,0002578729,Khammam,Punjab,2024-07-21
95,Maya Mistry,yashica88@example.com,9470551694,Kavali,Meghalaya,2024-06-10
96,Charan Srinivasan,lajitadivan@example.net,+910913075626,Bulandshahr,Mizoram,2025-07-10
97,David Devi,ektasridhar@example.net,05278585497,Shahjahanpur,Himachal Pradesh,2025-01-23
98,Umang Mishra,sarthak75@example.com,08441986652,Kalyan-Dombivli,Jharkhand,2025-05-24
99,Hiral Sathe,varenya33@example.net,08421993308,Muzaffarpur,Arunachal Pradesh,2024-02-02
100,Ganga Sodhi,devanabdul@example.net,+916773454019,Deoghar,Telangana,2025-05-31
